Pais,Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$,LCOE_$/kWh
Espana,4,367334107.17974454,616266570.2885267,1.6776731543389574
Espana,5,391128292.83869064,623954208.6380413,1.595267384288594
Espana,6,411757453.6336398,631641846.9875557,1.5340143606715557
Espana,7,430013114.1682666,639329485.3370703,1.4867674130675397
Espana,8,445235483.48383117,647017123.6865848,1.4532020642736607
Espana,9,456818388.7644999,654704762.0360994,1.4331839044544556
Espana,10,465162952.9253849,662392400.3856139,1.4240007640760375
Espana,11,470202346.97211397,670080038.7351286,1.4250886731002828
Espana,12,474086951.2765419,677767677.0846432,1.4296273610983472
Espana,13,474449515.97572905,685455315.4341577,1.444738148851274
Espana,14,474552592.85803413,693142953.7836723,1.4606240998688023
Espana,15,474641242.45169234,700830592.1331868,1.4765480313365633
Espana,16,474497292.23911375,708518230.4827014,1.4931976263536977
Espana,17,474287558.3839416,716205868.832216,1.510066743628216
Espana,18,474079406.1911563,723893507.1817304,1.5269456924898464
