pais,capital_cost,lcoe_$/kwh,energia_kwh
Australia,700000.0000,0.0610,1665904.4648
Australia,760000.0000,0.0628,1665904.4648
Australia,820000.0000,0.0646,1665904.4648
Australia,880000.0000,0.0664,1665904.4648
Australia,940000.0000,0.0682,1665904.4648
Australia,1000000.0000,0.0700,1665904.4648
Australia,1060000.0000,0.0718,1665904.4648
Australia,1120000.0000,0.0736,1665904.4648
Australia,1180000.0000,0.0754,1665904.4648
Australia,1240000.0000,0.0772,1665904.4648
Australia,1300000.0000,0.0790,1665904.4648
Chile,700000.0000,0.0520,2025887.7693
Chile,760000.0000,0.0534,2025887.7693
Chile,820000.0000,0.0549,2025887.7693
Chile,880000.0000,0.0564,2025887.7693
Chile,940000.0000,0.0579,2025887.7693
Chile,1000000.0000,0.0594,2025887.7693
Chile,1060000.0000,0.0608,2025887.7693
Chile,1120000.0000,0.0623,2025887.7693
Chile,1180000.0000,0.0638,2025887.7693
Chile,1240000.0000,0.0653,2025887.7693
Chile,1300000.0000,0.0668,2025887.7693
Espana,700000.0000,0.0652,1539935.7504
Espana,760000.0000,0.0671,1539935.7504
Espana,820000.0000,0.0691,1539935.7504
Espana,880000.0000,0.0710,1539935.7504
Espana,940000.0000,0.0730,1539935.7504
Espana,1000000.0000,0.0749,1539935.7504
Espana,1060000.0000,0.0769,1539935.7504
Espana,1120000.0000,0.0788,1539935.7504
Espana,1180000.0000,0.0808,1539935.7504
Espana,1240000.0000,0.0827,1539935.7504
Espana,1300000.0000,0.0847,1539935.7504
