pais,inv_eff,lcoe_$/kwh,energia_kwh
Australia,90,0.0740,1561530.9447
Australia,91,0.0733,1578936.4838
Australia,92,0.0726,1596338.0420
Australia,93,0.0720,1613735.6191
Australia,94,0.0713,1631129.2153
Australia,95,0.0707,1648518.8305
Australia,96,0.0700,1665904.4648
Australia,97,0.0694,1683268.1416
Australia,98,0.0688,1700600.1474
Chile,90,0.0626,1899366.3063
Chile,91,0.0621,1920466.5659
Chile,92,0.0615,1941561.4791
Chile,93,0.0610,1962651.0796
Chile,94,0.0604,1983735.3335
Chile,95,0.0599,2004814.2301
Chile,96,0.0594,2025887.7693
Chile,97,0.0589,2046952.3066
Chile,98,0.0584,2067969.5374
Espana,90,0.0793,1443349.7955
Espana,91,0.0785,1459456.7583
Espana,92,0.0778,1475560.1927
Espana,93,0.0770,1491660.1191
Espana,94,0.0763,1507756.4906
Espana,95,0.0756,1523849.3254
Espana,96,0.0749,1539935.7504
Espana,97,0.0743,1556013.0455
Espana,98,0.0736,1572086.8888
