Pais,Multiplo_Solar,Generacion_energia_kWh,Costo_total_planta_$,LCOE_$/kWh
Chile,1.5000,591496974.0713,688840788.1777,0.1149
Chile,1.7500,646148024.9828,688840788.1777,0.1068
Chile,2.0000,667266459.4370,688840788.1777,0.1041
Chile,2.2500,665810424.4199,688840788.1777,0.1043
Chile,2.5000,660164747.1381,688840788.1777,0.1050
Chile,2.7500,655215571.3230,688840788.1777,0.1056
Chile,3.0000,648734226.4555,688840788.1777,0.1065
Australia,1.5000,-12372447.5462,688840788.1777,-4.5149
Australia,1.7500,-12372447.5462,688840788.1777,-4.5149
Australia,2.0000,-12372447.5462,688840788.1777,-4.5149
Australia,2.2500,-12372447.5462,688840788.1777,-4.5149
Australia,2.5000,-12372447.5462,688840788.1777,-4.5149
Australia,2.7500,-12372447.5462,688840788.1777,-4.5149
Australia,3.0000,-12372447.5462,688840788.1777,-4.5149
Espana,1.5000,409474656.4618,688840788.1777,0.1570
Espana,1.7500,445652442.9005,688840788.1777,0.1459
Espana,2.0000,455970383.6839,688840788.1777,0.1431
Espana,2.2500,452241220.3007,688840788.1777,0.1441
Espana,2.5000,447618776.6785,688840788.1777,0.1453
Espana,2.7500,441891128.1072,688840788.1777,0.1470
Espana,3.0000,436451574.9969,688840788.1777,0.1486
