Horas_almacenamiento,Generacion_energia_kWh,Costo_total_planta_$,LCOE_$/kWh
4,531815330.75,627339681.38,0.12
5,569146208.95,635027319.73,0.11
6,606452676.03,642714958.08,0.11
7,643279552.79,650402596.43,0.10
8,679216232.08,658090234.78,0.10
9,714319406.80,665777873.13,0.10
10,745874825.39,673465511.48,0.09
11,773300940.80,681153149.83,0.09
12,796769853.99,688840788.18,0.09
13,817150136.82,696528426.53,0.09
14,830754284.02,704216064.88,0.09
15,834034211.89,711903703.23,0.09
16,835335211.80,719591341.58,0.09
17,836336479.45,727278979.93,0.09
18,837373489.24,734966618.27,0.09
